Class Index,Title,Description
6,-,A luxury condominium
7,-,"Men's department isn't that great, otherwise a decent department store."
6,-,"A good, maybe great asain market. All over Chicago.  The prepared food was all right, not great and i love korean food"
5,-,Made the pain of seeing Trump sworn in less harsh.
3,-,"Updated 2-7-19 mushroom and $3.00 that they charged me $4.69 for. Swiss burger, over cooked on a stale bun. Strawberry shake not bad at all. Service in drive thru was reasonable. No greeting from employee at all, not good. Went frikin inside to inquire about price difference. The $3 one is only 1/4 lbs and the mushroom Swiss I ordered is a 1/4 lbs burger. Duh...yeah I know that but what's the difference. One is bigger she said. I'm done thank you.
Basic burger
Basic Dr. Pepper
Nice server."
3,-,"Had the German Chocolate ice cream, love it size. Perfect!"
6,-,Good multiscreen movie theater. Plays 1st run and special event rebroadcasts
6,-,Disappointed.  Considered one of the best but with two visits one good but not great and the other poor. Burger was dried out as if it was overcooked
6,-,"A good pub, which has ok food and better drinks. A very comfortable place"
5,-,"Ok 12 people on the floor, standing around, no service."
5,-,Great beer garden and brunch
4,-,Good food for everyone
4,-,What a porkchop
4,-,Loved those shrimp
6,-,A interesting place in a neighborhood with plenty of chicken choices.  Sample this an the others.
7,-,"Cool little South American inspired place on Fulton.  Service was decent, nice atmosphere. Kale salad was very good but the portion was huge. Cauliflower was a standout as well. Ceviche and steak we're good but not exceptional."
6,-,Great Italian sandwiches plus a convienant small grocery
3,-,Hanging with MITCH @ the Dew enjoying a bowl of awesome chilli. Numerous food items offered here. I just stuck with the traditional great bowl of chilli. Half beans half meat with normal suet and plenty of crackers. Spices on every table allow you to season you meal to your tastes. Cannot go wrong. Not sure why people are rating this as ok. I do agree it could be spicier however not every e likes it that way.
6,-,"The ultimate Chicago breakfast place, around since 1923. Stii crowded with all type from fresh of the bus or train to business and local government.   Everything is what you expect to be from the pancakes to the hash. The people next to me had biscuits and gravy and a turkey club. Both looked good. The give you free donut holes, pieces of fruit, milks and ice cream
The portions are big enough for two meals"
7,-,"Not an every day kind of place, but one of the most interesting dining experiences I have ever had."
6,-,"A bold millenial move is the Moxy. It clearly has the right vibe with liquor,  comfortable group seating enough board games and a fast food taco place. I'm not a millennial, but I have one and he would love it"
7,-,"Burrito was decent, not really much different than Chipotle or any fast food Mexican."
3,-,All I can really say is this was my 1st time here. The key lime pie was simply outstanding.
4,-,The host is very sweet and always helpful
2,-,Awesome brunch! Great cocktails!
4,-,Real good
7,-,Impossible burger v2 is fantastic. Posole was way too salty. Decent beer selection.
7,-,Beer selection and atmosphere is fine. It is absurdly large for a bar in the loop.
4,-,"The spaghetti and meatballs were just what I needed, now it's time for a pillow and a blanket"
